player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,grades_pass_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_pass_block,snap_counts_pass_play,true_pass_set_grades_pass_block,true_pass_set_hits_allowed,true_pass_set_hurries_allowed,true_pass_set_non_spike_pass_block,true_pass_set_non_spike_pass_block_percentage,true_pass_set_pass_block_percent,true_pass_set_pbe,true_pass_set_pressures_allowed,true_pass_set_sacks_allowed,true_pass_set_snap_counts_pass_block,true_pass_set_snap_counts_pass_play,week,year
Rashawn Slater,59971,T,LAC,1,0,27,71.5,0,1,51,100.0,100.0,99.0,0,1,0,52,52,64.9,0,0,22,100.0,100.0,100.0,0,0,23,23,2,2022
Ezra Cleveland,41973,G,MIN,1,1,18,48.2,2,3,50,100.0,100.0,93.0,1,6,1,52,52,46.5,1,3,28,100.0,100.0,92.9,4,0,30,30,2,2022
Zion Johnson,99681,G,LAC,1,0,27,38.2,1,1,51,100.0,100.0,98.0,0,2,0,52,52,22.7,1,0,22,100.0,100.0,97.7,1,0,23,23,2,2022
Brian O'Neill,46854,T,MIN,1,0,18,72.7,0,0,50,100.0,100.0,98.0,0,1,1,52,52,67.2,0,0,28,100.0,100.0,96.4,1,1,30,30,2,2022
Matt Feiler,9289,G,LAC,1,0,27,25.7,0,4,51,100.0,100.0,94.1,0,5,1,52,52,13.8,0,4,22,100.0,100.0,86.4,5,1,23,23,2,2022
Ed Ingram,59819,G,MIN,1,0,18,60.7,0,2,50,100.0,100.0,98.0,0,2,0,52,52,72.3,0,2,28,100.0,100.0,96.4,2,0,30,30,2,2022
Garrett Bradbury,46013,C,MIN,1,0,18,71.0,1,1,50,100.0,100.0,98.0,1,2,0,52,52,77.4,0,1,28,100.0,100.0,98.2,1,0,30,30,2,2022
Christian Darrisaw,77373,T,MIN,1,0,18,57.6,0,2,50,100.0,100.0,98.0,0,2,0,52,52,65.6,0,1,28,100.0,100.0,98.2,1,0,30,30,2,2022
Laken Tomlinson,9461,G,NYJ,1,0,22,76.8,0,2,47,100.0,100.0,97.9,0,2,0,49,49,69.0,0,2,28,100.0,100.0,96.4,2,0,28,28,2,2022
Erik McCoy,37347,C,NO,1,0,20,86.5,0,0,47,100.0,100.0,100.0,0,0,0,49,49,83.9,0,0,25,100.0,100.0,100.0,0,0,27,27,2,2022
Ryan Ramczyk,11787,T,NO,1,0,20,65.7,1,2,47,100.0,100.0,92.6,0,5,2,49,49,56.4,0,2,25,100.0,100.0,88.0,4,2,27,27,2,2022
